■ 일별 박스오피스,,,,,,,,,,,,,,,,,,,,,
- 조회일: 2025-09-06,,,,,,,,,,,,,,,,,,,,,
- 출처: 영화진흥위원회 통합전산망 (http://www.kobis.or.kr),,,,,,,,,,,,,,,,,,,,,
▶ 검색조건 [ 조회기간: 2025-08-29~2025-09-05???영화구분: 전체???국적: 한국???지역: 전체 ],,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
●2025년 09월 05일(금),,,,,,,,,,,,,,,,,,,,,
순위,영화명,개봉일,매출액 ,매출액,매출액증감,매출액증감율(전일대비) ,누적매출액 ,관객수 ,관객수증감(전일대비) ,관객수증감율(전일대비) ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
,,,,점유율 ,(전일대비) ,,,,,,,,,,,,,,,,
36,벌새,2019-08-29,"221,000",0.0%,"221,000",100.0%,"1,219,014,374",28,28,100.0%,"150,114",1,1,한국,한국,에피파니(주),"(주)엣나인필름,(주)콘텐츠판다",15세이상관람가,드라마,김보라,"박지후,김새벽,정인기,이승연,박수연,손용범,박서윤,길해연,손상연,설혜인,송경아,백금옥,엄경희,정원자,한승목,류혁진,원다영,곽다은,오명은,권세빈,조시연,권귀빈,박윤희,박윤희,김미향,안민영,엄윤채,김상호,김소현,김수연,이종윤,최수빈,이선주,정혜영,최원경,김종구,정경섭,조혜빈,윤태희,이현주,이연우,김예지,이예림,김채윤,김지원,김정헌,이춘희,이유진,정윤서,최민서,안진현,임세연,손채연,임혜원,안예은,형영선,박수현"
37,여유와 설빈 - [희극],,"125,000",0.0%,"125,000",100.0%,"125,000",25,25,100.0%,25,1,1,한국,한국,,,,다큐멘터리,,
37,야당: 익스텐디드 컷,2025-08-06,"196,000",0.0%,"23,000",13.3%,"244,170,020",25,5,25.0%,"27,223",3,3,한국,한국,(주)하이브미디어코프,메가박스중앙(주) 플러스엠 엔터테인먼트,청소년관람불가,"범죄,액션",황병국,"강하늘,유해진,박해준,류경수,채원빈"
39,수연의 선율,2025-08-06,"125,000",0.0%,"-439,000",-77.8%,"48,786,100",24,-56,-70.0%,"5,797",5,5,한국,한국,탄탄픽쳐스,(주)싸이더스,12세이상관람가,"가족,미스터리,스릴러",최종룡,"김보민,최이랑,김현정,진대연,최승원"
39,3일의 휴가,2023-12-06,"168,000",0.0%,"168,000",100.0%,"4,964,300,917",24,24,100.0%,"530,483",1,1,한국,한국,글뫼 주식회사,(주)쇼박스,12세이상관람가,"판타지,드라마",육상효,"김해숙,신민아,강기영,황보라,박명훈"
41,청와대 건너 붉은 벽돌집,,"108,000",0.0%,"108,000",100.0%,"108,000",22,22,100.0%,22,1,1,한국,한국,,,,"가족,코미디,다큐멘터리",,
42,아가씨,2016-06-01,"190,000",0.0%,"190,000",100.0%,"35,229,635,891",19,19,100.0%,"4,289,888",1,1,한국,한국,"유한회사 아가씨에프에스,모호필름,(주)용필름",(주)씨제이이엔엠,청소년관람불가,"스릴러,드라마",박찬욱,"김민희,김태리,하정우,조진웅,김해숙,문소리,최병모,김인우,이용녀,조은형,장한순,이규정,이승준,이윤재,김시은,안성봉,박기륭,원근희,정인겸"
43,비밀의 화원,2025-07-23,"65,000",0.0%,"42,000",182.6%,"8,572,000",16,11,220.0%,"1,431",2,2,한국,한국,㈜스튜디오 하이파이브,미디어나무(주),12세이상관람가,드라마,김성환,"박정학,최나린,서대원"
44,8월에는 편지를 써 볼 것 (섹션 1),,"104,000",0.0%,"104,000",100.0%,"562,000",13,13,100.0%,61,1,1,한국,한국,,,,기타,,
45,하이파이브,2025-05-30,"60,600",0.0%,"-125,400",-67.4%,"17,543,148,920",12,-19,-61.3%,"1,893,279",1,1,한국,한국,(주)안나푸르나필름,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"코미디,액션",강형철,"이재인,안재홍,유아인,라미란,김희원,김수혁,오정세,신구,박진영,진희경,장광,박형수,유승목,안승균,오하늬,김원해,이동휘,현봉식,정다원,윤지수,문도선,박병렬,이태영,강효준,김종태,임채선,이환진,노익현,류경환,장준현,박우준,이규영,최은경,임한나,배한용,이승철,김희상,임서영,최동구,김태순,송병훈,윤정로,최원,김기남,한주미,황지아,나진수,김우택,유진호,김영조,김봉희,박경현,박복만,박노아,김민규"
45,8월에는 편지를 써 볼 것 (섹션 2),,"96,000",0.0%,"50,000",108.7%,"1,006,000",12,7,140.0%,106,1,1,한국,한국,,,,기타,,
47,스피릿 핑거스! 4화,2025-08-27,"77,000",0.0%,0,0.0%,"322,000",11,0,0.0%,46,3,3,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
48,스피릿 핑거스! 3화,2025-08-27,"70,000",0.0%,0,0.0%,"294,000",10,0,0.0%,42,3,3,한국,한국,주식회사 넘버쓰리픽쳐스,주식회사 넘버쓰리픽쳐스,12세이상관람가,"드라마,멜로/로맨스",이철하,"박지후,조준영,최보민,박유나"
49,제9회 부산 인터시티 영화제 부산,,"28,000",0.0%,"28,000",100.0%,"28,000",8,8,100.0%,8,1,1,한국,한국,,,,"다큐멘터리,드라마",,
50,섬·망(望),2024-12-17,"53,000",0.0%,"53,000",100.0%,"3,448,500",7,7,100.0%,409,1,1,한국,한국,순리필름,영원의 질감,15세이상관람가,드라마,박순리,"이은,최원정,박세기,오민정,홍강우,이길원,김이담,한예서,김민서"
50,일과 날,2025-07-16,"31,000",0.0%,"31,000",100.0%,"12,327,400",7,7,100.0%,"1,424",4,4,한국,한국,비우무비,스튜디오 에이드,전체관람가,다큐멘터리,"박민수,안건형",
50,봄밤,2025-07-09,"82,000",0.0%,"-8,000",-8.9%,"77,098,400",7,-4,-36.4%,"8,963",1,1,한국,한국,월원영화사,(주)시네마달,15세이상관람가,드라마,강미자,"한예리,김설진,김선재,정명원,김승환,오다민"
50,한강전傳 : 그녀의 일곱 인생,,"35,000",0.0%,"35,000",100.0%,"35,000",7,7,100.0%,7,1,1,한국,한국,,,,다큐멘터리,,
54,백! 스테이지,,"15,000",0.0%,"-80,000",-84.2%,"29,875,000",3,-16,-84.2%,"5,857",1,1,한국,한국,"(주)씨제이이엔엠,주식회사 스튜디오제로백",씨제이 씨지브이(CJ CGV)(주),12세이상관람가,드라마,방성준,"윤호,배재영,최문기,이상희"
54,밤의 유령,,"15,000",0.0%,"15,000",100.0%,"195,000",3,3,100.0%,28,1,1,한국,한국,,,,다큐멘터리,,
56,인디스데이 8월 단편,,"12,000",0.0%,"12,000",100.0%,"120,000",2,2,100.0%,16,1,1,한국,한국,,,,드라마,,
56,녹턴,2022-08-18,"4,000",0.0%,0,0.0%,"81,972,100",2,0,0.0%,"11,621",1,2,한국,한국,포이에티케,(주)시네마달,12세이상관람가,다큐멘터리,정관조,"은성호,은건기,손민서"
56,노이즈,2025-06-25,"16,000",0.0%,"16,000",100.0%,"16,758,616,110",2,2,100.0%,"1,707,604",1,1,한국,한국,(주)화인컷,(주)바이포엠스튜디오,15세이상관람가,"공포(호러),스릴러",김수진,"이선빈,김민석,한수아,류경수,전익령,백주희,안석현,이은미"
56,잔챙이,2025-06-18,"10,000",0.0%,"10,000",100.0%,"22,695,100",2,2,100.0%,"2,663",1,2,한국,한국,"봄베씨네,에이치필름","봄베씨네,에이치필름",12세이상관람가,드라마,박중하,"김호원,임채영,성환"
60,815사수작전,2025-08-14,"7,000",0.0%,"2,000",40.0%,"3,566,500",1,0,0.0%,408,1,1,한국,한국,(주)하이씨씨,시네마 뉴원,12세이상관람가,코미디,손병조,"김인권,노영학"
61,2025 로컬-시내(Cin?) : 지역영화 교류전 - 섹션2 WOMEN IN FOCUS,,0,0.0%,0,100.0%,0,0,0,100.0%,0,1,1,한국,한국,,,,"드라마,가족,코미디",,
61,2025 로컬-시내(Cin?) : 지역영화 교류전 - 섹션1 YOUTH,,0,0.0%,0,100.0%,0,0,0,100.0%,0,1,1,한국,한국,,,,"드라마,가족",,
합계,,,"496,513,810",,,,"386,966,914,300","50,946",,,"46,533,991","1,784","3,348",,,,,,,,
